tweet_id	author_full_name	sarcasm_score
453597158567329793	DamonLThomas	1
347794782363451392	Mr_Nath18	1
424063942164348928	Vato3forlife	0
429350784850223104	besta90	1
522397523705872384	UlsterBank_Help	0
514625637974163456	WynRichards	0
481992089815625729	dimples_misfit	0
532926621951721473	UlsterBank_Help	0
429681671685033985	sloweddown	0
482530575748984832	AdamEllis22	0
439973448933462016	B_Searcy4	0
465725796947333120	HeatherQ_ebooks	0
393455588241178624	Tahian_Ahmed	0
539807965201842176	UlsterBank_Help	0
396091671735451648	Tahian_Ahmed	0
369849642432729089	kjr44035	1
416650604136525824	kjr44035	1
319600332424486912	kjr44035	1
471336220614983680	kjr44035	1
402083577988276225	kjr44035	1
501538851324981248	kjr44035	1
284772033315880960	kjr44035	1
410166307020365824	kjr44035	1
426545994512080896	kjr44035	1
337673206204858368	kjr44035	1
417398026324307969	kjr44035	1
293187116081491968	kjr44035	1
347167623714328576	BrandonCorrell1	1
374244341839331328	FauxJAckles	0
430443253045813248	CrazyBi0ch3mist	1
430751725503270913	CrazyBi0ch3mist	1
415108793589321728	NeedleOrThread	0
383842259294093312	RickDiznick	1
490878448358146048	Gitsnak	1
478289852723888128	FuskaRobo	1
413376358815776768	Holla_achaboy	0
440891468304363521	LukeeyProctor	0
374366177100693504	KingCryogen	1
369645288790958080	s_bickram	0
361365445170839555	Eric_b20	0
488652953746952193	LukeeyProctor	0
527626173120270337	TheOptiDreamer	0
409417350413561856	itsallietbh	0
477519005574369281	KimmieLucero	0
430144938227933184	CrazyBi0ch3mist	1
409510819995459584	kaatt_x3	0
476045280807489536	barrow_susan	0
537262299892162560	DuckHugs	0
514296816322740224	xobriannna	0
468606619761512449	kelsiefietsam	1
427838578425483265	valkyriedestiny	0
473302674096816128	BuccaneerBrad	1
507004484271489026	Samantha01763	0
271806679291666432	BrandonCorrell1	1
438555495498919936	edhooQQ	1
355724831225954305	thenicbragg	1
404004539424329729	AlecBurling1	0
473246839085756416	Jaivih	0
395697341921247232	chriskingsta	1
399340791510077440	Katiieeeie_	1
414465474701701121	philsmith1967	0
512633138196262912	CalanBriana	0
483324812433948672	42chi_	0
367867899962474496	NcisIsMyLife101	0
365543603864477698	NcisIsMyLife101	0
368470390232084480	NcisIsMyLife101	0
474400069173510146	squidgotgenes	1
529113450086006784	ItsKimsey	0
509757142627143680	42chi_	0
289609937246633984	NedzyWedzy	1
459827994773946368	StarfireAlien	0
473107342003687424	MatthewCassell1	1
236602817832435712	NedzyWedzy	1
391330595931832320	CTiizzle	1
360191122917687297	samuelsidler	1
348724923281334274	ItsMartynO	0
411686519833772033	Mr_misterjay	1
517421130500808704	Gitsnak	1
499046031720742912	_WatchMeeDoMee	0
456625763265961984	Twibletoday	0
503512691626217473	RedMancunian	0
473873086362963968	Jacob_Wrong	0
371858463057403905	ColinJHawkins	0
403824595469225984	emmajolliffe1	0
409117754521038848	Im_Antwain	0
537335775122452480	cheymariexo	0
466558222015692801	R_Redinger4	0
366468665979318272	KuraJailed	0
544220596230705152	pease971	0
496794538447740928	YummiitsKaylaa	0
262378121733476352	Roselynne18	0
514281473713897472	imDevinLopez	0
474258824258666496	Pantinakis	1
520034407080402944	josenevarez_	0
551858221392990209	RHS76	1
524749217160765441	1takefifarrock	0
366983008550522880	llanishenfish	0
466975211972087808	K0SYTHUGGIN	0
387004091152728064	KuraJailed	0
368667590471585792	PugsleyBen	1
412973176943964160	BrooklynnAlyza	0
464942511711354880	SeanRTully	1
323513444898861056	LoganWalters28	0
413337877104168962	kockyneesh	0
221978580899467266	DeMariusJ	0
385980536369315840	daveohhh	1
437602142510383104	courtneyrdavies	1
409109388562296833	micklemas75	0
393217199726288896	dcjohnson32	1
444365772547051520	AkremN	1
341214897952145408	EssenceDorisAnn	0
486822215350890496	BrownsMakeMeUgh	0
392507153745186816	Mewtime_	1
550446183072538625	_JASnotJAZZ	0
484797289915891712	AmberGChavez	0
259838449845153792	Darpan_Pr	1
401988572078563328	Karogal____	0
461520974853066754	hillplus	1
389468683833450497	KuraJailed	0
428317816874229761	therealtomjudd	1
449953390793994240	chris89harris	1
394981147899228160	Highspeedkurt	1
415979851200593920	MarlingMax	0
438791577683886080	_kurstiedehaven	0
392765996995325952	_BrokenAsuno	0
459510193932365824	martycass	1
398471355437297664	ChellyLizXOXO	0
386829258142015488	OliRhodes23	1
490248807868030976	NadeenFlores	0
315278821538533376	genevievemelzer	0
505720047672000512	friendsofkevin	0
536877206438297600	_anlimarie	0
542482897698312193	JustFlyskippy	1
501043759715717120	AvisIncendium	0
408243475063140352	jlfalwell	1
428318974779359232	Arabiia_	0
503714438986604544	morgankaterose	1
464554443636473857	mallthegreat_	0
498657077934714881	Cami0059	0
550758478223257600	RD_II	0
502572693649375232	ChristopherUSA	1
398909599882833920	Truersound	0
515090277376475136	SourcedMarket	0
519829952498106368	wallacet_ben	0
550835412043046913	papa_pendleton	0
359099954540716032	hinesley13	0
320665610004623360	hannahh_maria	0
431413371724783616	Browns1977	1
395610826268094464	Ramonohsobased	0
421729386170048513	AaronKDawson	1
481151219243577344	ZoeMustufa	1
371461689205460992	Shaq_37	0
430384095722758144	CallCsr	1
379625987157536768	CallCsr	1
522870399395430400	E_Shahid93	0
368161614769319936	BMC604	1
430056295106768896	TonyStark_CA	1
441688132992245760	KingKapper	1
441450173664083968	tannershank1	0
388275449639342080	Notmotoringhome	1
362046420708106241	tatianaathalerr	1
418602251599368194	jake_maloney_15	1
451547629705363456	Lrhagadorn21	1
443870021433847808	dathicksboi	0
441737496037031937	Magnee_	0
459196181369745408	LadyOfKell	1
256869466942611456	_Georgie_J	0
535094254822260737	InLove_WithMy_3	0
396510643987046400	_KhloeMommie	0
366271211157721089	Ashley95t	0
334772187686899712	sirsmithIII	0
551876713224089601	Housekiidd	0
430479378422980608	HollieOloughlin	0
440268031546388480	siridy_larkin	0
395718873816653824	Angel_DoesIt7	0
423240652936454144	owenmdolan	1
467757238913101824	wonderbudgie	0
468584439526612992	austinmitchel15	0
342882779844988929	Stepphhhh__	0
396278064453541889	Sarabrookereed	1
542860162378506240	ashleystokesx3	0
497896802222620672	Emoly28	0
538333525167333377	brooklynterando	0
377988930538201088	ZaneIsaac17	0
527137398979690496	GAMEHelps	0
397061678057009152	Mugzy052	1
430820406111379456	parryc09	1
428201714232340480	Bigmoves5	1
435654754719387648	BlastphamousM	0
553695024571899904	604Now	0
365575412421636096	TINYpulse	0
290884450642952192	FlySkippyZudrak	1
285782404512243714	ChanWarwick	0
372812384626552832	tompegg91	1
429303968121237504	admox86	1
547432539632463872	KausionWells	0
371813110413148160	WGPressLLC	0
265079914200436736	borodenzil	1
503724595808321536	huney_honey	0
394810302170427392	LeahHampton96	0
370608767878316032	chantelleloves	0
510204732296937472	AshleyRenee_97	0
471728325845479424	xDave_M	0
373850891365146624	ElegantCerise	0
501447981019959296	ashleystokesx3	0
511559041269903360	ChefBrandonRego	1
430059156578385920	TonyStark_CA	1
544358951249125376	kenziewager	0
542229714472284162	kalyneshaw	0
362148502433837057	HarryMcNeilly	0
382165455081066496	kiahlong2	0
404420648404918272	ajsmolinski	1
496318767501434880	_MyLifeAsLizLee	0
228205903030136832	BethMoxey1	0
335519960052953089	Browns1977	1
374376521127186432	_vaallred	0
502196767614844929	sideh1011	1
459363000764219394	tehsarcastic	1
376262403081916416	pistol_PETe_Z	0
